giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Pupilentes,GioLens Vision Care,https://www.giolensvisioncare.com.mx/,giolens@hotmail.com,6643700664,Tijuana,BC,México,Marca/retail,Alta,9,"Blvd Sánchez Taboada 16005, mayoreo Freshgo / Meetone",research
Belleza,Pupilentes,Lentematic,https://lentematic.com/,clientes@lentematic.com,8000220342,San Pedro Garza García,NL,México,Ecom,Alta,9,"Desde 2012, Mall del Valle Calz. del Valle 400",research
Belleza,Pupilentes,Lentes en México,https://www.lentesenmexico.com.mx/,ventas@lentesenmexico.com.mx,5562860422,CDMX,CDMX,México,Óptica online,Alta,8,"Centro Cuauhtémoc, FreshLook / Air Optix, WA 5569378629",research
Belleza,Pupilentes,Pupilentes GDL,https://www.facebook.com/pupilentesGDL/,pupilentesgdl@gmail.com,3317621010,Guadalajara,Jalisco,México,Tienda,Alta,8,"Plaza Kristal local 4, Fco. Javier Mina 325",research
Belleza,Pupilentes,SColorsMX,https://www.scolorsmx.com/,scolorsmx@gmail.com,5517272796,CDMX,CDMX,México,Mayoreo D2C,Alta,9,"Plaza de la República 9, Freshlady Love Story",research
Belleza,Pupilentes,Lentes World,https://www.lentesworld.com.mx/,,,México,México,México,Ecom,Media,3,Acuvue / Air Optix / Biofinity,research
Belleza,Pupilentes,Más Visión,https://www.masvision.mx/,,,México,México,México,Ecom óptica,Media,3,"Acuvue, Air Optix, Biofinity, iWear",research
Belleza,Pupilentes,Pupilentes (ejemplo original),https://pupilentes.shop/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Pupilentes,Pupilentes.shop,https://pupilentes.shop/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — ecom pupilentes de color,ejemplo_cliente
Belleza,Pupilentes,Ópticas Lux,https://lux.mx/collections/lentes-de-contacto,,,México,México,México,Retail,Media,2,Air Optix / Acuvue / Contalux,brand
