giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Jardin,Vitaminas para plantas y abono,Módulos fertilizantes NPK producto,https://vinde.com.mx/product/modulos-fertilizantes/,ventas@vinde.com.mx,5547121065,CDMX,CDMX,México,Producto,Alta,8,"Pastillas verde/amarillo/café, NPK + ácidos fúlvicos",research
Jardin,Vitaminas para plantas y abono,Vinde,https://vinde.com.mx/,ventas@vinde.com.mx,5547121065,CDMX,CDMX,México,Mayoreo,Alta,9,Módulos fertilizantes en pastilla (NPK); tienda física norte CDMX,research
Jardin,Vitaminas para plantas y abono,Vinde 2o tel,https://vinde.com.mx/,ventas@vinde.com.mx,5530405164,CDMX,CDMX,México,Canal,Alta,8,55 3040 5164,research
Jardin,Vitaminas para plantas y abono,Vitabloom,https://vitabloom.mx/,vidaqueflorece@vitabloom.mx,2228048419,Cholula,Puebla,México,Marca,Alta,9,"10 Norte 603, Cholula; biofertilizantes orgánicos y vitamínicos",research
Jardin,Vitaminas para plantas y abono,Vitabloom 2o tel,https://vitabloom.mx/contacto/,vidaqueflorece@vitabloom.mx,2229102821,Cholula,Puebla,México,Canal,Alta,8,+52 222 910 2821,research
Jardin,Vitaminas para plantas y abono,Vitabloom WA,https://vitabloom.mx/producto/vitalawn/,,2215816358,Cholula,Puebla,México,Canal,Alta,5,WhatsApp 221 581 6358,research
Jardin,Vitaminas para plantas y abono,VitaHuertos Dúo producto,https://vitabloom.mx/producto/vitahuertos/,,2228048419,Cholula,Puebla,México,Producto,Alta,5,Biofertilizante orgánico para huertos y frutales,research
Jardin,Vitaminas para plantas y abono,Agroquímicos JAM,,,6222248244,Empalme,Sonora,México,Distribuidor,Media,4,Carretera a Ortiz y Emiliano Zapata; distribuidor Envu,research
Jardin,Vitaminas para plantas y abono,Agroservicios Nacionales,,,3338113203,Guadalajara,Jalisco,México,Distribuidor,Media,4,"Lázaro Cárdenas 2390, Col. Del Fresno; distribuidor Envu",research
Jardin,Vitaminas para plantas y abono,Amazon MX fertilizantes,https://www.amazon.com.mx/s?k=fertilizante+vitaminas+plantas,,,México,México,México,Marketplace,Media,2,Sellers de fertilizantes,research
Jardin,Vitaminas para plantas y abono,Grow Shop México,https://growshopmexico.com/,,,,,México,Ecom,Media,3,"Tienda online de cultivo: BioBizz, nutrientes orgánicos, hidroponía",research
Jardin,Vitaminas para plantas y abono,ML fertilizantes y vitaminas,https://hogar.mercadolibre.com.mx/jardines-exteriores/fertilizantes-y-vitaminas-para-plantas,,,México,México,México,Marketplace,Media,2,"Vitaminas Anthurium, Fitobolic, Bayfolan…",research
Jardin,Vitaminas para plantas y abono,Nucle.ag México (ejemplo),https://mexico.nucle.ag/,,,,,México,Ejemplo original,Media,2,Ejemplo del cliente — nutrición vegetal y abonos,ejemplo_cliente
Jardin,Vitaminas para plantas y abono,VitaLawn producto,https://vitabloom.mx/producto/vitalawn/,,,Cholula,Puebla,México,Producto,Media,3,Fertilizante para pastos verdes,research
Jardin,Vitaminas para plantas y abono,Vitaminas para plantas y abono (ejemplo original),https://mexico.nucle.ag/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Jardin,Vitaminas para plantas y abono,AgroGenial,,,,,,México,Marketplace,Baja,0,"Fitobolic, Grofol, Nitrofoska vía ML",research
Jardin,Vitaminas para plantas y abono,Agroinsumos Chilpancingo,,,,Chilpancingo,Guerrero,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Ciudad Victoria,,,,Ciudad Victoria,Tamaulipas,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Cuautitlán Izcalli,,,,Cuautitlán Izcalli,EdoMex,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Ecatepec,,,,Ecatepec,EdoMex,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Los Cabos,,,,Los Cabos,BCS,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Mazatlán,,,,Mazatlán,Sinaloa,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Minatitlán,,,,Minatitlán,Veracruz,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Monclova,,,,Monclova,Coahuila,México,Regional,Baja,1,Nutrición vegetal,research
Jardin,Vitaminas para plantas y abono,Agroinsumos Naucalpan,,,,Naucalpan,EdoMex,México,Regional,Baja,1,Nutrición vegetal,research
