giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Electronica,Fundas personalizadas y soporte para celular,Carcasas Centro Santa Fe,https://centrosantafe.com.mx/products/la-casa-de-las-carcasas,,5592455002,CDMX,CDMX,México,Sucursal,Alta,5,"Local 317, 1er nivel, CC Santa Fe",research
Electronica,Fundas personalizadas y soporte para celular,Carcasas Portal Centro,https://funocomercial.com/portal-centro/tiendas/la-casa-de-las-carcasas/,,557417506,CDMX,CDMX,México,Sucursal,Alta,5,"Lorenzo Boturini 258, Col. Tránsito",research
Electronica,Fundas personalizadas y soporte para celular,Distribuidora OEM fundas,https://distribuidoraoem.mx/,info@distribuidoraoem.com,8180751009,Monterrey,Nuevo León,México,Mayoreo,Alta,9,"Fundas, micas y cargadores por mayoreo",research
Electronica,Fundas personalizadas y soporte para celular,Fundas magsafe producto,https://unicell.com.mx/fundas-para-celular-mayoreo/,,5621399879,CDMX,CDMX,México,Producto,Alta,5,Fundas magnéticas magsafe,research
Electronica,Fundas personalizadas y soporte para celular,InstaCase,https://instacase.mx/,contacto@instacase.mx,5513810714,CDMX,CDMX,México,Ecom,Alta,9,"+200 modelos; CC Santa Fe, Vasco de Quiróga 3800, Cuajimalpa; +200 modelos; CC Santa Fe, Vasco de Quiróga 3800, Cuajimalpa; +200 modelos; sucursales CDMX/Puebla/Cuernavaca",research
Electronica,Fundas personalizadas y soporte para celular,InstaCase WA alterno,https://instacase.mx/contacto,contacto@instacase.mx,5573168706,CDMX,CDMX,México,Canal,Alta,8,WhatsApp 55 7316 8706,research
Electronica,Fundas personalizadas y soporte para celular,Keiz soportes,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Mayoreo,Alta,9,"Soportes, power banks y accesorios",research
Electronica,Fundas personalizadas y soporte para celular,La Casa de las Carcasas,https://lacasadelascarcasas.com.mx/,,5610812656,CDMX,CDMX,México,Ecom,Alta,6,"Oficina Ejército Nacional 424-606, Granada; fundas y personalización; Oficina Ejército Nacional 424-606, Granada; fundas y personalización; Fundas y personalización, envíos MX",research
Electronica,Fundas personalizadas y soporte para celular,Micas 9D producto,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Producto,Alta,8,Micas de vidrio templado,research
Electronica,Fundas personalizadas y soporte para celular,Soporte magnético auto,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Producto,Alta,8,Soportes para celular en auto,research
Electronica,Fundas personalizadas y soporte para celular,Tienda-Mex,https://tienda-mex.com/,ventas@tienda-mex.com,3336853593,Guadalajara,Jalisco,México,Fabricante,Alta,9,Fundas de piel cinceladas a mano; mayoreo; Francisco de Ayza 2838; Fundas de piel cinceladas a mano; mayoreo; Francisco de Ayza 2838; Fundas de piel cinceladas a mano; mayoreo; fabricante MX,research
Electronica,Fundas personalizadas y soporte para celular,Tienda-Mex WhatsApp,https://tienda-mex.com/,ventas@tienda-mex.com,3321681707,Guadalajara,Jalisco,México,Canal,Alta,8,WhatsApp +52 1 33 2168 1707,research
Electronica,Fundas personalizadas y soporte para celular,Unicell fundas,https://unicell.com.mx/fundas-para-celular-mayoreo/,,5621399879,CDMX,CDMX,México,Mayoreo,Alta,6,"Mínimo $3,000; silicón, uso rudo, con diseño, magnéticas",research
Electronica,Fundas personalizadas y soporte para celular,Unicell fundas catálogo,https://unicell.com.mx/fundas-para-celular-mayoreo/,,5621399879,CDMX,CDMX,México,Canal,Alta,5,Catálogo 500+ modelos todas las marcas,research
Electronica,Fundas personalizadas y soporte para celular,Accesorios Bizalú,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Izazaga 26, 1er piso locales 104-105",research
Electronica,Fundas personalizadas y soporte para celular,Amazon MX fundas personalizadas,https://www.amazon.com.mx/s?k=fundas+para+celular+personalizadas,,,México,México,México,Marketplace,Media,2,Sellers de fundas,research
Electronica,Fundas personalizadas y soporte para celular,Funcases,https://funcases.mx/,,,,,México,Ejemplo original,Media,2,Ejemplo del cliente — fundas personalizadas y soporte para celular,ejemplo_cliente
Electronica,Fundas personalizadas y soporte para celular,Fundas personalizadas foto,https://funcases.mx/,,,,,México,Producto,Media,2,Personalización con fotos y diseño,research
Electronica,Fundas personalizadas y soporte para celular,Fundas personalizadas y soporte para celular (ejemplo original),https://funcases.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Electronica,Fundas personalizadas y soporte para celular,ML fundas mayoreo,https://listado.mercadolibre.com.mx/fundas-para-celular-mayoreo,,,México,México,México,Marketplace,Media,2,Kits y paquetes mayoreo,research
Electronica,Fundas personalizadas y soporte para celular,Mundo Case,,,5610701287,CDMX,CDMX,México,Mayoreo,Media,4,Izazaga 29/38; 8 sucursales CDMX + 2 GDL; envíos desde 10 pzs,research
Electronica,Fundas personalizadas y soporte para celular,OtterBox México,https://www.otterbox.com.mx/,,,,,México,Marca,Media,3,Fundas de uso rudo,brand
Electronica,Fundas personalizadas y soporte para celular,Spigen México,https://www.spigen.com.mx/,,,,,México,Marca,Media,3,Cases vía ecom MX,brand
Electronica,Fundas personalizadas y soporte para celular,Xtassis fundas,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Andrade 47, fundas económicas",research
Electronica,Fundas personalizadas y soporte para celular,Ringke / ESR,,,,,,México,Marca,Baja,1,Accesorios móvil,brand
