giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Skincare y maquillaje,Bamboo Store Cosméticos,https://www.bamboocosmeticos.com/,contacto@bamboocosmeticos.com,5568303103,CDMX,CDMX,México,Mayoreo,Alta,9,"Calz. Tlalpan 1074 local C, Benito Juárez; originales y chinos",research
Belleza,Skincare y maquillaje,Bamboo WA,https://www.bamboocosmeticos.com/,,5513822468,CDMX,CDMX,México,Canal,Alta,5,WhatsApp +52 55 1382 2468,research
Belleza,Skincare y maquillaje,Beauty Care Latam (ejemplo),https://beautycarelatam.com.mx/,,5591382000,CDMX,CDMX,México,Ejemplo original,Alta,5,Ejemplo del cliente — skincare y maquillaje; Reforma 1015 P.5 Santa Fe,ejemplo_cliente
Belleza,Skincare y maquillaje,Cosmétics mayoreo CDMX,https://www.facebook.com/cdmxcosmeticosmayoreo/,,5577619644,CDMX,CDMX,México,Mayoreo,Alta,6,"Transvaal 531 int 1; sin mínimo, envíos República",research
Belleza,Skincare y maquillaje,House of Beauty,https://www.housebeauty.mx/mayoreo/,,5575227542,CDMX,CDMX,México,Mayoreo,Alta,6,"Adara Paris, Beauty Creations, La Girl, La Colors, Pink Up, Rude…",research
Belleza,Skincare y maquillaje,MAKEUPMX Distribuidora,https://makeupmx.com/,contacto@makeupmxdistribuidora.com,4424673394,Querétaro,Querétaro,México,Mayoreo,Alta,9,"Campo Real 1402 local 4, El Refugio; K-beauty y cosmética",research
Belleza,Skincare y maquillaje,MAKEUPMX soporte,https://makeupmx.com/,equipomakeupmx@gmail.com,4424673394,Querétaro,Querétaro,México,Canal,Alta,8,Soporte / ATC,research
Belleza,Skincare y maquillaje,ML Beauty Trend,https://mlbeautytrend.mx/,hola@mlbeautytrend.mx,,Querétaro,Querétaro,México,Mayoreo,Alta,7,"Beauty Creations, Arantza, Pink Up, Moira +20 marcas; mín. $1,490",research
Belleza,Skincare y maquillaje,Paletas de sombras producto,https://www.housebeauty.mx/mayoreo/,,5575227542,CDMX,CDMX,México,Producto,Alta,5,Paletas Beauty Creations / Moira,research
Belleza,Skincare y maquillaje,Protector solar producto,https://mlbeautytrend.mx/,hola@mlbeautytrend.mx,,Querétaro,Querétaro,México,Producto,Alta,6,SPF en mayoreo,research
Belleza,Skincare y maquillaje,Sérum vitamina C producto,https://makeupmx.com/,,4424673394,Querétaro,Querétaro,México,Producto,Alta,5,Skincare activos,research
Belleza,Skincare y maquillaje,Zelar Shop Mayoreo,https://mayoreo.zelarshop.com/,ventas@zelarshop.com,3319462952,Zapopan,Jalisco,México,Mayoreo,Alta,9,"Oscar Wilde 5895A, Lomas Universidad; Beauty Creations",research
Belleza,Skincare y maquillaje,Amazon MX cosméticos,https://www.amazon.com.mx/s?k=maquillaje+mayoreo,,,México,México,México,Marketplace,Media,2,Sellers de maquillaje y skincare,research
Belleza,Skincare y maquillaje,El Palacio de Hierro,https://www.elpalaciodehierro.com/,,,CDMX,CDMX,México,Retail,Media,3,Belleza premium,brand
Belleza,Skincare y maquillaje,Farmacias del Ahorro,https://www.fahorro.com/,,,CDMX,CDMX,México,Retail,Media,3,Dermocosmética en farmacias,brand
Belleza,Skincare y maquillaje,Liverpool Belleza,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Cosmética y perfumería,brand
Belleza,Skincare y maquillaje,Mega Bodega Soluna,,,,CDMX,CDMX,México,Mayoreo,Media,2,Bodega de maquillaje y cosméticos CDMX,research
Belleza,Skincare y maquillaje,Melón Bombón Shop,,,,CDMX,CDMX,México,Mayoreo,Media,2,Distribuidor mayorista de cosméticos sin mínimo de compra,research
Belleza,Skincare y maquillaje,ML cosméticos mayoreo,https://listado.mercadolibre.com.mx/maquillaje-mayoreo,,,México,México,México,Marketplace,Media,2,Kits y lotes de maquillaje,research
Belleza,Skincare y maquillaje,SANMAR Tienda de cosméticos,,,9984240133,Cancún,Q. Roo,México,Mayoreo,Media,4,Cosméticos de mayoreo CDMX/Cancún,research
Belleza,Skincare y maquillaje,Sephora México,https://www.sephora.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Cadenas de belleza,brand
Belleza,Skincare y maquillaje,Skincare y maquillaje (ejemplo original),https://beautycarelatam.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Skincare y maquillaje,Arantza Cosmetics,,,,,,México,Marca,Baja,1,Maquillaje mexicano,brand
Belleza,Skincare y maquillaje,Beauty Creations,,,,,,México,Marca,Baja,1,"Maquillaje mayoreo, distribución MX",brand
Belleza,Skincare y maquillaje,Cluster Centro CDMX cosmética,,,,CDMX,CDMX,México,Cluster,Baja,0,Mayoreo de belleza en el Centro,research
Belleza,Skincare y maquillaje,Dermocosmética Chilpancingo,,,,Chilpancingo,Guerrero,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Ciudad Victoria,,,,Ciudad Victoria,Tamaulipas,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Cuautitlán Izcalli,,,,Cuautitlán Izcalli,EdoMex,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Ecatepec,,,,Ecatepec,EdoMex,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Los Cabos,,,,Los Cabos,BCS,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Mazatlán,,,,Mazatlán,Sinaloa,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Minatitlán,,,,Minatitlán,Veracruz,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Monclova,,,,Monclova,Coahuila,México,Regional,Baja,1,Skincare y protectores,research
Belleza,Skincare y maquillaje,Dermocosmética Naucalpan,,,,Naucalpan,EdoMex,México,Regional,Baja,1,Skincare y protectores,research
