giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Autos,Aromatizantes para autos,Aislinn Productos de Limpieza,https://aislinn.com.mx/,ventas@aislinn.com.mx,553906964,,,México,Mayoreo,Alta,8,"Aromatizante por litro 4L/20L, aromas Auto Nuevo, Cereza, Lavanda…",research
Autos,Aromatizantes para autos,Areon contacto,https://areon-mexico.com/contacto/,info@areon-mexico.com,5591835294,CDMX,CDMX,México,Canal,Alta,8,+52 55 9183 5294; WhatsApp,research
Autos,Aromatizantes para autos,Areon México,https://areon-mexico.com/,info@areon-mexico.com,5591835294,CDMX,CDMX,México,Distribuidor,Alta,9,Polanco; catálogo Areon auto/hogar; distribuidores,research
Autos,Aromatizantes para autos,Automotriz 360,https://www.auto360.com.mx/aromatizantes,ventas@auto360.com.mx,3333829489,Guadalajara,Jalisco,México,Fabricante,Alta,9,"Químicos automotriz; Altos Hornos 1273, P.I. El Álamo",research
Autos,Aromatizantes para autos,Wiese CDMX Distribuidor,https://wiese-aromatizante.com/,wiesecdmx@gmail.com,5589311558,CDMX,CDMX,México,Distribuidor,Alta,9,"Aromatizante auto 7ml, clip on y gel 70g; WA 55 3958 2119",research
Autos,Aromatizantes para autos,Abastecedora Industrial de Limpieza,,,,Monterrey,Nuevo León,México,Fabricante,Media,2,"Aromas para auto, socio Cosmos desde 2009; Col. Pablo A. de la Garza",research
Autos,Aromatizantes para autos,Amazon MX aromatizantes auto,https://www.amazon.com.mx/s?k=aromatizante+para+auto,,,México,México,México,Marketplace,Media,2,Sellers aromatizantes,research
Autos,Aromatizantes para autos,Aromatizantes para autos (ejemplo original),https://olfativahome.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Autos,Aromatizantes para autos,Aromáticos y Químicos del Centro,,,5585266676,,,México,Mayoreo,Media,3,Oficina corporativa; aromatizantes,research
Autos,Aromatizantes para autos,Autozone México,https://www.autozone.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Refaccionarias venden aromatizantes,brand
Autos,Aromatizantes para autos,Basic-chem de México,,,,Ecatepec,EdoMex,México,Fabricante,Media,2,"Aromas para auto; Av. Lázaro Cárdenas 83, Doce de Diciembre",research
Autos,Aromatizantes para autos,Chedraui aromatizantes,https://www.chedraui.com.mx/aromatizante-cristalinas-3765142/p,,,,,México,Retail,Media,2,Autoservicio: Cristalinas,brand
Autos,Aromatizantes para autos,Clean Chemical Products,,,,CDMX,CDMX,México,Fabricante,Media,2,"Aromas para auto; Calle 4 No. 390, Agrícola Pantitlán, Iztacalco",research
Autos,Aromatizantes para autos,CLYNDEX,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Insurgentes Sur 4342, Tlalpan",research
Autos,Aromatizantes para autos,Cristalinasshop MX,https://cristalinasshop.com.mx/,,,,,México,Marca,Media,3,"Aromatizantes MX: coche premium con pinza, mikados",research
Autos,Aromatizantes para autos,Dalmick,,,,Xalostoc,EdoMex,México,Mayoreo,Media,2,"Aromatizantes olor manzana; Ébano 30, Viveros Xalostoc",research
Autos,Aromatizantes para autos,Distribuidora El Trébol (Dicotrel),,,,Nezahualcóyotl,EdoMex,México,Distribuidor,Media,2,Aromas para auto; Col. La Perla,research
Autos,Aromatizantes para autos,FAME IMPORT,,,,CDMX,CDMX,México,Distribuidor,Media,2,Homero 538-303A Polanco; aromatizantes Areon al mayoreo,research
Autos,Aromatizantes para autos,Grupo Cirro Cooper,,,,Cuautitlán Izcalli,EdoMex,México,Fabricante,Media,2,Aromas para auto; socio Cosmos desde 2005,research
Autos,Aromatizantes para autos,H-E-B aromatizantes,https://www.heb.com.mx/cristalinas-aromatizante-automovil100-ml-1-pz-901633/p,,,,,México,Retail,Media,2,Autoservicio: Cristalinas 100ml,brand
Autos,Aromatizantes para autos,Industrias San-Ber,,,8141708011,Escobedo,Nuevo León,México,Fabricante,Media,4,"Aromatizantes al alcohol SAN-AIR; Siderúrgica 120, P.I. Escobedo",research
Autos,Aromatizantes para autos,Laboratorios Hersol,,,,Metepec,EdoMex,México,Fabricante,Media,2,"Aromas para auto; Niños Héroes 116, Barrio La Concepción",research
Autos,Aromatizantes para autos,LAVA MUNDO,,,,San Mateo Tecoloapan,México,México,Mayoreo,Media,2,Carretera Lago de Guadalupe 98; aromatizantes autos,research
Autos,Aromatizantes para autos,ML aromatizantes mayoreo,https://listado.mercadolibre.com.mx/aromatizantes-para-autos-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo aromatizantes auto,research
Autos,Aromatizantes para autos,O'Reilly Auto Parts MX,https://www.oreillyauto.com.mx/,,,,,México,Retail,Media,2,Refaccionarias,brand
Autos,Aromatizantes para autos,Olarte Especialidades Químicas,,,5585262305,Ecatepec,EdoMex,México,Mayoreo,Media,4,"Aromatizantes larga duración; Av. Nacional 71, Sta. María Chiconautla",research
Autos,Aromatizantes para autos,Olfativa,https://olfativahome.com/,,,,,México,Ejemplo original,Media,2,Ejemplo del cliente — aromatizantes para autos,ejemplo_cliente
Autos,Aromatizantes para autos,ONA Inspira México,,,,CDMX,CDMX,México,Fabricante,Media,2,"Eugenia 910, Benito Juárez; aromatizantes hogar/oficina",research
Autos,Aromatizantes para autos,QUÍMICA ARBEN,,,5585262422,Coyotepec,EdoMex,México,Fabricante,Media,4,Aromatizantes industriales; Carretera Teoloyucan-Huehuetoca S/N,research
