giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Tecnologia,"Cargadores, porta laptop",DataComponents,https://datacomponents.com.mx/,info@datacomponents.com.mx,5558948888,México,México,México,Mayoreo,Alta,8,IMAGES AND ENTERTAINMENT / B-Robotix,research
Tecnologia,"Cargadores, porta laptop",DataComponents B-Robotix extra,https://datacomponents.com.mx/,info@datacomponents.com.mx,5558948888,México,México,México,Mayoreo,Alta,8,Guías y catálogo,research
Tecnologia,"Cargadores, porta laptop",DDTech,https://www.ddtech.mx/,ventas@ddtech.mx,(33) 1523-2823,Guadalajara,Jalisco,México,Ecom + tienda,Alta,9,Componentes ASUS partner,research
Tecnologia,"Cargadores, porta laptop",DDTech sucursal GDL extra,https://www.ddtech.mx/,ventas@ddtech.mx,(33) 1523-1303,Guadalajara,Jalisco,México,Tienda,Alta,8,Segundo tel,research
Tecnologia,"Cargadores, porta laptop",Digitalife,https://www.digitalife.com.mx/,ventas.internet@digitalife.com.mx,3336300660,Guadalajara,Jalisco,México,Ecom + tienda,Alta,9,API Global / ASUS,research
Tecnologia,"Cargadores, porta laptop",Digitalife sucursal GDL extra,https://www.digitalife.com.mx/,ventas.internet@digitalife.com.mx,3336300660,Guadalajara,Jalisco,México,Tienda,Alta,8,Ext 1020,research
Tecnologia,"Cargadores, porta laptop",Ensamble PCs PCH extra,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,México,México,México,Servicio,Alta,7,PCs gamer / oficina,research
Tecnologia,"Cargadores, porta laptop",Fundas AirPods mayoreo,https://www.fundasmayoreo.com.mx/,,2411104310,Apizaco,Tlaxcala,México,Línea producto,Alta,5,Catálogo Fundas Mayoreo,research
Tecnologia,"Cargadores, porta laptop",Fundas Mayoreo MX,https://www.fundasmayoreo.com.mx/,,2411104310,Apizaco,Tlaxcala,México,Mayoreo fundas,Alta,6,Josefa Ortiz 500 2do piso Centro,research
Tecnologia,"Cargadores, porta laptop",Hikvision / Dahua canal MCA,https://www.mcachis.com.mx/,,9616132242,Tuxtla Gutiérrez,Chiapas,México,CCTV,Alta,5,Adyacente tech,research
Tecnologia,"Cargadores, porta laptop",Impresoras Lexmark Epson Brother canal,https://www.mcachis.com.mx/,,9616132242,Tuxtla Gutiérrez,Chiapas,México,Consumibles,Alta,5,Adyacente,research
Tecnologia,"Cargadores, porta laptop",Koblenz / APC / Tripp Lite energía,https://www.mcachis.com.mx/,clientes@mcachis.com.mx,9616132242,Tuxtla Gutiérrez,Chiapas,México,Energía,Alta,8,Reguladores y UPS,research
Tecnologia,"Cargadores, porta laptop",Mayoreo celular Eje Central,https://unicell.com.mx/,,5563681724,CDMX,CDMX,México,Cluster,Alta,5,Unicell y vecinos,research
Tecnologia,"Cargadores, porta laptop",Mayoreo celular MTY centro,https://mocadistribuidora.com/,,813882554,Monterrey,NL,México,Cluster,Alta,5,Juárez 745,research
Tecnologia,"Cargadores, porta laptop",Mayoreo fundas CDMX Unicell extra,https://unicell.com.mx/,,5563681724,CDMX,CDMX,México,Red nacional,Alta,5,Calidad/precio 15 años,research
Tecnologia,"Cargadores, porta laptop",Mayoreo fundas Tlaxcala extra,https://www.fundasmayoreo.com.mx/,,2411104310,Apizaco,Tlaxcala,México,Fábrica/dist,Alta,5,Desde 1 pza,research
Tecnologia,"Cargadores, porta laptop",Mayoreo MTY MOCA extra,https://mocadistribuidora.com/,,813882554,Monterrey,NL,México,Red sucursales,Alta,5,10k comunidad,research
Tecnologia,"Cargadores, porta laptop",MCA Chiapas,https://www.mcachis.com.mx/,clientes@mcachis.com.mx,9616132242,Tuxtla Gutiérrez,Chiapas,México,Mayoreo cómputo,Alta,9,Belisario Domínguez 2007 Penipak desde 1997,research
Tecnologia,"Cargadores, porta laptop",MCA Chiapas 1997 extra,https://www.mcachis.com.mx/,clientes@mcachis.com.mx,9616132242,Tuxtla Gutiérrez,Chiapas,México,Regional sureste,Alta,8,Dell HP Apple acc,research
Tecnologia,"Cargadores, porta laptop",Micas / screen protectors mayoreo,https://unicell.com.mx/,,5563681724,CDMX,CDMX,México,Línea producto,Alta,5,Unicell,research
Tecnologia,"Cargadores, porta laptop",MiPC Comunicaciones,https://www.mipc.com.mx/,ricardo.reynoso@mipc.com.mx,(33) 4770-3209,Guadalajara,Jalisco,México,Distribuidor,Alta,9,ASUS Pacífico,research
Tecnologia,"Cargadores, porta laptop",MOCA Distribuidora,https://mocadistribuidora.com/,mocadistribuidora21@gmail.com,813882554,Monterrey,NL,México,Mayoreo accesorios,Alta,9,"Av. Juárez 745 Centro, +7 años, 5000+ SKU",research
Tecnologia,"Cargadores, porta laptop",MOCA sucursal GDL Piso 3,,mocadistribuidora21@gmail.com,8112558769,Guadalajara,Jalisco,México,Sucursal mayoreo,Alta,7,16 de Septiembre 151 — 3328462843 Alondra,research
Tecnologia,"Cargadores, porta laptop",OCURRE PCH recolecta,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,México,México,México,Logística,Alta,7,Recoge en sucursal,research
Tecnologia,"Cargadores, porta laptop",PCH Connect / Shop PCH,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,CDMX,CDMX,México,Mayoreo tech,Alta,9,Iztaccíhuatl 322 — suc. CDMX/GDL/Mérida/Puebla,research
Tecnologia,"Cargadores, porta laptop",PCH sucursal CDMX extra,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,CDMX,CDMX,México,Sucursal,Alta,8,Iztaccíhuatl 322,research
Tecnologia,"Cargadores, porta laptop",PCH sucursal Guadalajara,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,Guadalajara,Jalisco,México,Sucursal,Alta,8,Occidente,research
Tecnologia,"Cargadores, porta laptop",PCH sucursal Mérida,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,Mérida,Yucatán,México,Sucursal,Alta,8,Sureste,research
Tecnologia,"Cargadores, porta laptop",PCH sucursal Puebla,https://shop.pchconnect.com/,hola@pchconnect.com,(33) 1368-4390,Puebla,Puebla,México,Sucursal,Alta,8,Centro,research
